sl_no,is_code,description,download_link
1382,IS 3312:1984,steel shelving cabinets (adjustable type) -Specification,https://archive.org/download/gov.in.is.3312.1984/is.3312.1984.pdf
1383,IS 3313:1983,Steel Filing Cabinets for General Office Purposes – Specification,https://archive.org/download/gov.in.is.3313.1983/is.3313.1983.pdf
1384,IS 3314:1984,steel clothes lockers – Specification,https://archive.org/download/gov.in.is.3314.1984/is.3314.1984.pdf
1385,IS 3497:1992,Steel wardrobes (adjustable type)-Specification,https://archive.org/download/gov.in.is.3497.1992/is.3497.1992.pdf
1386,IS 3498:1993,Metal table (office type)-Specification,https://archive.org/download/gov.in.is.3498.1993/is.3498.1993.pdf
1387,IS 3499-1:1985,"metal chairs for office purposes Specification, Part 1: Non-revolving and non-tilting",https://archive.org/download/gov.in.is.3499.1.1985/is.3499.1.1985.pdf
1388,IS 3499-2:1985,"metal chairs for office purposes Specification, Part 2: Revolving and tilting",https://archive.org/download/gov.in.is.3499.2.1985/is.3499.2.1985.pdf
1389,IS 3499-2:B):1985,"metal chairs for office purposes Specification, Part 2: Revolving and tilting (BI-LINGUAL)",https://archive.org/download/gov.in.is.3499.2.b.1985/is.3499.2.b.1985.pdf
1390,IS 3663:1991,Dimensions of tables and chairs for office purposes,https://archive.org/download/gov.in.is.3663.1991/is.3663.1991.pdf
1391,IS 3761:1983,Metal Side Racks (Adjustable Type) – Specification,https://archive.org/download/gov.in.is.3761.1983/is.3761.1983.pdf
1392,IS 3762:1979,Metal Waste Paper bins – Specification,https://archive.org/download/gov.in.is.3762.1979/is.3762.1979.pdf
1393,IS 3763:1983,metal folding chairs – Specification,https://archive.org/download/gov.in.is.3763.1983/is.3763.1983.pdf
1394,IS 3791:1983,Metal Paper Trays – Specification,https://archive.org/download/gov.in.is.3791.1983/is.3791.1983.pdf
1395,IS 3845:1966,Code of practice for joints used in wooden furniture,https://archive.org/download/gov.in.is.3845.1966/is.3845.1966.pdf
1396,IS 4103:1977,metal nesting chairs- Specification,https://archive.org/download/gov.in.is.4103.1977/is.4103.1977.pdf
1397,IS 4116:1988,wooden shelving cabinets (adjustable type) -Specification,https://archive.org/download/gov.in.is.4116.1988/is.4116.1988.pdf
1061,IS 303:1989,Plywood for General Purposes,https://archive.org/download/gov.in.is.303.1989/is.303.1989.pdf
1062,IS 652:1960,Wooden Separators for Lead-Acid Storage Batteries,https://archive.org/download/gov.in.is.652.1960/is.652.1960.pdf
1063,IS 709:1974,Specification for Medium Strength Aircraft Plywood,https://archive.org/download/gov.in.is.709.1974/is.709.1974.pdf
1064,IS 710:2010,Marine Plywood -Specification,https://archive.org/download/gov.in.is.710.2010/is.710.2010.pdf
1065,IS 848:2006,Specification for Synthetic Resin Adhesives for Plywood (Phenolic And Aminoplastic),https://archive.org/download/gov.in.is.848.2006/is.848.2006.pdf
1066,IS 851:1978,Specification for Synthetic Resin Adhesives For Construction Work (Non-Structural) in Wood,https://archive.org/download/gov.in.is.851.1978/is.851.1978.pdf
1067,IS 852:1994,Animal Glue For General Wood-Working Purposes -Specification,https://archive.org/download/gov.in.is.852.1994/is.852.1994.pdf
1068,IS 1328:1996,Veneered Decorative Plywood -Specification,https://archive.org/download/gov.in.is.1328.1996/is.1328.1996.pdf
1069,IS 1508:1972,Extenders for Use in Synthetic Resin Adhesives (Urea-formaldehyde) for Plywood- Code of Practice,https://archive.org/download/gov.in.is.1508.1972/is.1508.1972.pdf
1070,IS 1658:2006,Fibre hardboards -Specification,https://archive.org/download/gov.in.is.1658.2006/is.1658.2006.pdf
1071,IS 1659:2004,Block Boards -Specification,https://archive.org/download/gov.in.is.1659.2004/is.1659.2004.pdf
1072,IS 1734-1 to 20:1983,Methods of test for plywood,https://archive.org/download/gov.in.is.1734.1-20.1983/is.1734.1-20.1983.pdf
1073,IS 2380-1 to 21:1977,Methods of Test for Wood Particle Boards and Boards from Other Lignocellulosic Materials,https://archive.org/download/gov.in.is.2380.1-21.1977/is.2380.1-21.1977.pdf
1074,IS 2380-22:1981,"Method of test for wood particle boards and boards from other lignocellulosic materials, Part 22: Determination of surface glue ability test",https://archive.org/download/gov.in.is.2380.22.1981/is.2380.22.1981.pdf
1075,IS 2380-23:1981,"Method of test for wood particle boards and boards from other lignocellulosic materials, Part 23: Vibration tests for particle boards",https://archive.org/download/gov.in.is.2380.23.1981/is.2380.23.1981.pdf
1076,IS 3087:2005,Particle boards of wood and other lignocellulosic materials (medium density) for general purposes -Specification,https://archive.org/download/gov.in.is.3087.2005/is.3087.2005.pdf
1077,IS 3097:2006,Veneered Particle Boards -Specification,https://archive.org/download/gov.in.is.3097.2006/is.3097.2006.pdf
1078,IS 3129:1985,Specification for low-density particle boards,https://archive.org/download/gov.in.is.3129.1985/is.3129.1985.pdf
1079,IS 3308:1981,Specification for wood wool building slabs,https://archive.org/download/gov.in.is.3308.1981/is.3308.1981.pdf
1080,IS 3348:1965,Specification for fibre insulation boards,https://archive.org/download/gov.in.is.3348.1965/is.3348.1965.pdf
1479,IS 875-1:1987,"Code of Practice For Design Loads (Other Than Earthquake)For Buildings And Structures, Part 1: Dead Loads – Unit Weights of Building Material And Stored Materials (Incorporating IS 1911: 1967)",https://archive.org/download/gov.in.is.875.1.1987/is.875.1.1987.pdf
1480,IS 875-2:1987,"Code of Practice for Design Loads (Other Than Earthquake) For Buildings And Structures, Part 2: Imposed Loads",https://archive.org/download/gov.in.is.875.2.1987/is.875.2.1987.pdf
1481,IS 875-3:1987,"Code of Practice for Design Loads (Other than Earthquake) for Buildings and Structures, Part 3: Wind Loads",https://archive.org/download/gov.in.is.875.3.1987/is.875.3.1987.pdf
1482,IS 875.3:2015,Code of Practice for Design Loads (Other than Earthquake) for Buildings and Structures – Part 3: Wind Loads (IS 875: Part 3) + Amendment 2016,https://archive.org/download/gov.in.is.875.3.2015/is.875.3.2015.pdf
1483,IS 875-4:1987,"Code of Practice For Design Loads (Other Than Earthquake) For Buildings And Structures, Part 4: Snow Loads",https://archive.org/download/gov.in.is.875.4.1987/is.875.4.1987.pdf
1484,IS 875-5:1987,"Code of Practice For Design Loads (Other Than Earthquake) For Buildings And Structures, Part 5: Special Loads And Combinations",https://archive.org/download/gov.in.is.875.5.1987/is.875.5.1987.pdf
1485,SP 64:2001,Explanatory Handbook on Indian Standard Code of Practice for Design Loads (Other than Earthquake) for Buildings and Structures,https://archive.org/download/gov.in.is.sp.64.2001/is.sp.64.2001.pdf
1712,IS 7317:1993,Code of practice for uniaxial jacking test for deformation modulus of rock,https://archive.org/download/gov.in.is.7317.1993/is.7317.1993.pdf
1713,IS 7746:1991,Code of practice for the in-situ shear test on rock,https://archive.org/download/gov.in.is.7746.1991/is.7746.1991.pdf
1714,IS 8764:1998,Method of determination of the point load strength index of rocks,https://archive.org/download/gov.in.is.8764.1998/is.8764.1998.pdf
